Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-030,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-030,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-031,Revenue Growth - Revenue from refer in (Total),20,10,3.9,4.0 - 5.9,6.0 - 7.9,8.0 - 9.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-031,Revenue Growth- Revenue from retained case from refer out  ,15,15,5,6 - 8,9 - 11,12 - 14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-031,Number of case Refer in,10,8,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-031,Number of Retained case from refer out   (%Growth),5,12,5,6 - 7,7 - 8,8 - 9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-031,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-031,"Customer Satisfaction Index
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-031,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-031,อัตราความพึงพอใจของผู้นำส่ง(Referral agent)ต่องานให้บริการรับ-ส่งต่อผู้ป่วย,5,95,64,65 - 74,75 - 84,85 - 94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-031,ระยะเวลารอคอยรถพยาบาลออกรับผู้ป่วยกรณีไม่ฉุกเฉิน(ต่างอำเภอ-ต่างจังหวัด)ได้ภายใน 30นาที,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-031,อัตราการรายงานแพทย์ในกรณีประสานงานรับrefer in,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-031,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-031,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-032,Net Revenue Growth - หน้าร้าน,10,4,1.4,1.5 - 1.9,2.0 - 2.4,2.5 - 2.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-032,Net Revenue Growth - ผู้ป่วยใน,10,6,3.4,3.5 - 3.9,4.0 - 4.4,4.5 - 4.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-032,%ROS,10,30,17,18 - 20,21 - 23,24 - 26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-032,"Customer Satisfaction Index
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-032,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-032,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-032,"Number of Incidents Report
 -พบสิ่งแปลกปลอมในอาหาร",15,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-032,จำนวนข้อร้องเรียนเรื่องการส่งอาหารผู้ป่วยล่าช้า,10,2,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-032,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-032,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-032,% Success จากการสุ่มตรวจสุขาภิบาลอาหารและสุขอนามัยส่วนบุคคล,10,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-032,อัตราการทบทวน Incident Report ของหน่วยงาน,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-033,Save cost Energy to Total Revenue,20,1.45,2.37,2.38 - 2.08,2.07 - 1.77,1.76 - 1.46,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-033,%Success : Coractive Maintenance of SLA,15,95,64,65 - 74,75 - 84,85 - 94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-033,%Success : Preventive Maintenance ,15,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-033,%Success : การควบคุม ทดสอบคุณภาพน้ำ และแผนรองรับฉุกเฉิน ได้ตามรอบ,15,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-033,Number of Utility Breakdown,10,3,6,5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-033,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-033,"Customer Satisfaction Index
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-033,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-033,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-033,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,1,PPSV-201908-034,% Medical Equipment Management Cost,20,0.17,1.1,1.11 - 0.8,0.79 - 0.49, 0.48 - 0.18,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-034,% Success - Med Equipment Corrective maintenance of SLA,15,98,67,68 - 77,78 - 87,88 - 97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-034,% Success – Med Equipment Preventive maintenance,15,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-034,% Success – Med Equipment Calibration,15,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-034,% Success – Service Sub Contract Maintenance and Calibration,15,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-034,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-034,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-034,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-034,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-035,ค่าใช้จ่ายวัสดุสิ้นเปลืองต่อ Adjust Patient day ลดลงจากปีที่แล้ว,20,2,0.3, 0.4 - 0.6,0.7 - 0.9,1.0 - 1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-035,ความพึงพอใจ  ; แม่บ้าน,10,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-035,ความพึงพอใจ  ; รปภ,10,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-035,ความพึงพอใจ  ; ห้องผ้า,10,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-035,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-035,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-035,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-035,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-035,% Success of Cleaning Time - Patent Room,10,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-035,จำนวน IR ข้อผิดพลาดในการปฏิบัติงานของ รปภ.,10,50,66,65 - 61,60 - 56,55 - 51,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-035,จำนวนครั้งข้อร้องเรียนเรื่องผ้าไม่สะอาดหรือผ้าชำรุด,10,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-036,ค่าใช้จ่ายในการซ่อมแซมรถ / Total Revenue,20,0.01,0.04,0.03,0.02,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-036,จำนวนข้อร้องเรียน เรื่องพฤติกรรมบริการ,10,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-036,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-036,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-036,จำนวนครั้งของการเกิดเหตุรถเสียระหว่างรับ-ส่งผู้ป่วย,14,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-036,อัตราเวลาการออกรถ EMS ในการรับเรื่องศูนย์สื่อสารฯ,12,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-036,อัตราจำนวนครั้งและระยะเวลาที่ไม่สามารถออกรถได้ตามใบขอใช้,12,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-036,อัตราการบำรุงรักษาตามแผนที่กำหนด,12,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-036,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-036,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,1,PPSV-201908-037,%ในการเรียกร้องสินไหมทางInternet Claim,25,95,64,65 - 74,75 - 84,85 - 94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-037,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-037,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-037,จำนวนข้อร้องเรียนพฤติกรรมบริการของเจ้าหน้าที่การเงิน,10,2,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-037,%ในการรอชำระเงินกรณีไม่มี Fax claim ไม่เกิน 20 นาที (ผู้ป่วยใน),10,95,64,65 - 74,75 - 84,85 - 94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-037,จำนวนรายที่เกิดความผิดพลาดในการคิดค่าใช้จ่ายและคำนวณสิทธิเบิก,15,0.2,1.8,1.7 - 1.3,1.2 - 0.8,0.7 - 0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-037,จำนวนครั้งที่มีการส่งรายได้ประจำวันไม่ถูกต้อง,10,5,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-037,% Deposit ,10,60,29,30 - 39,40 - 49,50 - 59,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-037,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-037,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,4,PPSV-201908-038,%COPQ to revenue,25,0.1,1.61,1.6 - 1.2,1.1 - 0.7,0.6 - 0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-038,"Service Behavior Satisfaction
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-038,"Customer Satisfaction Index
",5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-038,Internal Satisfaction,5,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-038,อัตราการทบทวน Case (Trigger) ตามแนวทางที่กำหนด ,12,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-038,อัตราการเกิดอุบัติเหตุของมีคมทิ่มตำหรือสารคัดหลั่งกระเด็นเข้าร่างกาย,12,0,0.4,0.3,0.2,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-038,อัตราเอกสารที่อยู่ในการควบคุมตามระบบคุณภาพได้รับการทบทวนตามรอบที่กำหนด ตามรอบ 3 ปี/วันบังคับใช้เป็นปี 2560/ 2561/ 2562 (ยกเว้นประเภท SD-E  FM),14,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-038,จำนวนการบาดเจ็บจากการทำงานของเจ้าหน้าที่ ด้านความปลอดภัย (หยุดงานเกิน 3 วัน),12,0,0.4,0.3,0.2,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-038,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-038,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-039,Target Revenue ,25,46.3,38.9,39.0 - 40.9,41.0 - 42.9,43.0 - 44.9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-039,Target Counter Visit ,10,18343,15999,16000 - 16499,16500 - 16999,17000 - 17499,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-039,%ROS,10,50,30,31 - 34,35 - 39,40 - 44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-039,Customer Complain,3,5,12,11 - 10,9 - 8,7 - 6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-039,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-039,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-039,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-039,จำนวนครั้งการคีย์โปรแกรมตรวจสุขภาพผิดพลาด,9,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-039,อัตราการมอบผลตรวจสุขภาพรักษ์ชีวิตภายใน 1 วัน,7,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-039,อัตราการมอบสมุดวัคซีนให้ผู้รับบริการ,7,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-039,อัตราการจัดการอุบัติการณ์ของหน่วยงานได้ภายในระยะเวลาที่กำหนด ,7,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-039,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-039,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-040,สามารถรายงานเคส ผลการตรวจ และปัญหาที่พบได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-040,สามารถรับคำสั่งแพทย์ได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-040,สามารถเตรียมผู้รับบริการก่อนตรวจหัตถการทางหัวใจและทรวงอกได้อย่างถูกต้อง  ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-040,จำนวนครั้งของผู้ป่วยที่เกิดภาวะแทรกซ้อนจากการกระทำของบุคลากรทางการแพทย์,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-041,สามารถรายงานเคส ผลการตรวจ และปัญหาที่พบได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-041,สามารถรับคำสั่งแพทย์ได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-041,สามารถเตรียมผู้รับบริการก่อนตรวจหัตถการทางหัวใจและทรวงอกได้อย่างถูกต้อง  ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-041,จำนวนครั้งของผู้ป่วยที่เกิดภาวะแทรกซ้อนจากการกระทำของบุคลากรทางการแพทย์,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-042,สามารถรายงานเคส ผลการตรวจ และปัญหาที่พบได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-042,สามารถรับคำสั่งแพทย์ได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-042,สามารถเตรียมผู้รับบริการก่อนตรวจหัตถการทางหัวใจและทรวงอกได้อย่างถูกต้อง  ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-042,จำนวนครั้งของผู้ป่วยที่เกิดภาวะแทรกซ้อนจากการกระทำของบุคลากรทางการแพทย์,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-043,สามารถรายงานเคส ผลการตรวจ และปัญหาที่พบได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-043,สามารถรับคำสั่งแพทย์ได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-043,สามารถเตรียมผู้รับบริการก่อนตรวจหัตถการทางหัวใจและทรวงอกได้อย่างถูกต้อง  ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-043,จำนวนครั้งของผู้ป่วยที่เกิดภาวะแทรกซ้อนจากการกระทำของบุคลากรทางการแพทย์,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-044,สามารถรายงานเคส ผลการตรวจ และปัญหาที่พบได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-044,สามารถรับคำสั่งแพทย์ได้อย่างถูกต้อง ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,4,PPSV-201908-044,สามารถเตรียมผู้รับบริการก่อนตรวจหัตถการทางหัวใจและทรวงอกได้อย่างถูกต้อง  ครบถ้วน ไม่เกิด IR ,25,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-044,จำนวนครั้งของผู้ป่วยที่เกิดภาวะแทรกซ้อนจากการกระทำของบุคลากรทางการแพทย์,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-045,จำนวนครั้งของการรายงานแพทย์ผิดพลาด,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-045,จำนวนครั้งของการรับคำสั่งแพทย์ผิดพลาด,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-045,จำนวนครั้งของการเตรียมผู้รับบริการผิดพลาด การทำหัตถการทางเทคโนโลยีหัวใจผิดพลาด,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-045,จำนวนครั้งของผู้ป่วยที่เกิดภาวะแทรกซ้อนจากการกระทำของบุคลากรทางการแพทย์,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-046,สามารถช่วยแพทย์ทำหัตถการทางเทคโนโลยีหัวใจและทรวงอกได้ถูกต้อง ถูกคน ถูกหัตถการ ,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-046,มอบผลการตรวจให้ผู้รับบริการได้ถูกต้อง,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-046,จำนวนครั้งของความไม่พร้อมใช้ของหัตถการทางเทคโนโลยีหัวใจและทรวงอก,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-046,จำนวนครั้งของการคีย์คิดค่าใช้จ่ายผิดพลาด,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-047,สามารถช่วยแพทย์ทำหัตถการทางเทคโนโลยีหัวใจและทรวงอกได้ถูกต้อง ถูกคน ถูกหัตถการ ,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1,4,PPSV-201908-047,มอบผลการตรวจให้ผู้รับบริการได้ถูกต้อง,25,0,7,6 - 5,4 - 3,2 - 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
