Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5
,2,3,5,PPCH-202003-019,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-020,Electricity Expense/Adjust Patient day,20,200,276,275-251,250-226,225-201,200
,2,1,3,PPCH-202003-020,ข้อร้องเรียนเกี่ยวพฤติกรรมบริการ,10,3,7,6,5,4,3
,2,1,4,PPCH-202003-020,จำนวนข้อร้องเรียนเรื่องผ้าไม่สะอาด ชำรุด,5,3,7,6,5,4,3
,2,2,4,PPCH-202003-020,%การทำความสะอาดห้องพัก ตามกำหนดเวลา 30 นาที ,10,90,72,73-78,79-83,84-89,90
,2,2,4,PPCH-202003-020,%Success : Coractive Maintenance of SLA,10,95,79,80-84,85-89,90-94,95
,2,2,4,PPCH-202003-020,%Success : Preventive Maintenance ,10,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-020,Number of Utility breakdown,10,3,7,6,5,4,3
,2,2,4,PPCH-202003-020, Time request response,10,90,72,73-78,79-83,84-89,90
,2,2,4,PPCH-202003-020,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-020,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,2,3,PPCH-202003-021,Customer Satisfaction Index,15,95,79,80-84,85-89,90-94,95
,2,1,3,PPCH-202003-021,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,10,2,6,5,4,3,2
,2,2,4,PPCH-202003-021,"Waiting Time OPD <10 min  (Med - Discharge To Financial Discharge) No LAB,x-ray",20,70,64,65-69,70-74,75-79,70
,2,2,4,PPCH-202003-021,Discharge Waiting Time - Self-pay < 60 min. IPD,10,80,64,65-69,70-74,75-79,80
,2,2,4,PPCH-202003-021,Discharge Waiting Time  -  Insurance < 120 min. IPD,10,80,64,65-69,70-74,75-79,80
,2,2,4,PPCH-202003-021,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-021,จำนวนครั้งของการนำส่งรายได้ประจำวัน และเอกสารไม่ครบถ้วน ไม่ถูกต้อง,20,7,11,10,9,8,7
,2,3,5,PPCH-202003-021,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,2,3,PPCH-202003-022,Customer Satisfaction Index,30,95,79,80-84,85-89,90-94,95
,2,2,4,PPCH-202003-022,เปอร์เซ็นต์ concurrent review ร่วมกับบริษัทประกัน,35,90,74,75-79,80-84,85-89,90
,2,1,4,PPCH-202003-022,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,10,0,4,3,2,1,0
,2,2,4,PPCH-202003-022,เปอร์เซ็นต์การทำเบิกเคส UCEP ให้ได้ 45 วันหลังจากผู้ป่วย D/C,10,80,64,65-69,70-74,75-79,80
,2,2,4,PPCH-202003-022,อัตราการทบทวน Incident Report ของหน่วยงาน,15,100,69,70-79,80-89,90-99,100
,2,2,3,PPCH-202003-023,Customer Satisfaction Index,30,90,74,75-79,80-84,85-89,90
,2,2,4,PPCH-202003-023,อัตราผู้ป่วยมีภาวะเสี่ยงด้านโภชนาการได้รับการประเมินภาวะโภชนาการเชิงลึกจากนักกำหนดอาหาร/นักโภชนาการ,15,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-023,อัตราผู้ป่วยที่ได้รับการ Re-assessment ภาวะโภชนาการเชิงลึก,15,90,74,75-79,80-84,85-89,90
,2,1,4,PPCH-202003-023,จำนวนครั้งที่ผู้ป่วยได้รับอาหารเฉพาะโรคไม่ถูกต้อง,15,0,4,3,2,1,0
,2,1,4,PPCH-202003-023,แผนกห้องอาหารผ่านการรับรองมาตรฐาน Clean Food Good Teast,5,5,1,2,3,4,5
,2,1,4,PPCH-202003-023,แผนกห้องอาหารผ่านการรับรองมาตรฐานอาหารปลอดภัย,5,5,1,2,3,4,5
,2,2,4,PPCH-202003-023,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-023,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
